=== RUN TestGetinfofromport
37658306 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658321 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659214 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37487747 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486454 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659211 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661499 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658323 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659202 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658304 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658325 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661502 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486455 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661519 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37487750 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659221 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486456 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661498 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658328 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37489966 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659206 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658322 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486458 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486457 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658308 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661508 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658302 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661513 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486460 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658307 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659207 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661500 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661507 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661526 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661532 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661505 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37487754 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658326 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659213 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658324 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661517 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658313 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661518 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661528 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37487751 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661516 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659216 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37659218 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658309 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661514 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486453 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37661520 14279 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37487748 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37487756 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658303 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37658312 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37486451 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37660401 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
37487755 12713 /home/wangzhe/java/jdk1.8.0_65/bin/java Java
Proto     Local Adress       Foregin Adress          State              Pid/Program
tcp 0000:0000:0000:0000:0000:0000:0000:0000:9300 0000:0000:0000:0000:0000:0000:0000:0000:0           LISTEN           12713/Java
12713 Java <nil>
--- PASS: TestGetinfofromport (3.70s)
PASS
ok  	command-line-arguments	3.706s
